作者,看板,標題,時間,分數,內容
orz44444 (窮鬼只會討飯吃和抓交替~),movie,[新聞] 金馬入圍「千年一問」票房破150萬 全場哭成一片,Tue Oct 20 14:04:01 2020,21,"
新聞網址：https://stars.udn.com/star/story/10090/4948485

2020-10-20 00:54 聯合報 記者黃保慧／即時報導

今年金馬獎最佳紀錄片入圍作品「千年一問」，完整收錄台灣漫畫家鄭問一生創作軌跡，
目前全台票房累積破150萬，本片上周末於台北、新北啟動第一波公益巡迴放映，有學生
映後哽咽落淚表示，自己熱愛畫畫，父母卻希望他當醫生，看完鄭問老師的故事，感覺獲
得了一些堅持的勇氣。一位女生則分享因人生困頓曾想結束生命，但藉由畫畫走出陰霾，
全場觀眾哭成一片。導演王婉柔也感動說「學生的眼睛如此清澈，他們比我們想像的，懂
得更多、更多。」

漫畫家鄭問於2017年心肌梗塞驟然過世，享年58歲，令許多漫畫迷們不捨，紀錄片「千年
一問」耗時近3年、走訪4地、飛行萬里拍攝製作，試圖在135分鐘的電影篇幅中，將鄭問
跌宕起伏的漫畫人生活現於大銀幕，上映至今每一場映後都獲得觀眾熱烈迴響，不少人哭
紅眼踏出戲院，甚至有觀眾在廳外握著王婉柔導演的手，邊哭邊感謝她拍出這樣一部電影
。

「千年一問」受和碩董事長童子賢、副總張天寶及藝碩文創股份有限公司共同贊助，邀請
全台灣3000位對藝術設計領域有興趣的學子進戲院一賭鄭問面對創作不妥協、不放棄的「
大神」風範，上週末台北、新北共6場放映，包括鄭問的母校復興商工，以及實踐大學、
台灣藝術大學、師大附中美術班、中和國中美術班、民族國小美術班等超過50間學校共襄
盛舉，有學生惋惜說：「太晚認識鄭問，當初錯過故宮大展，但沒有錯過這部紀錄片實在
太好了。」

導演王婉柔原本怕孩子們看不懂的擔憂也放下了，她感受到「單純的畫畫的快樂，沒有年
齡與經歷的限制，我在一位位害羞上前、只為激動分享觀影感受的年少臉龐上，看到了很
多、很多。電影完成了，有人喜歡、有人不喜歡，但都無妨。電影比我們都大太多，已經
成為大家的了。」
--

    窮人想翻身靠讀書,窮鬼不會讀書想翻身只能靠抓交替~~
PS:廟公收留乞丐,乞丐趕走廟公,然後乞丐變廟公,廟公變乞丐,這就是抓交替~


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 125.231.114.51 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603173846.A.00C.html
※ 編輯: orz44444 (125.231.114.51 臺灣), 10/20/2020 14:04:36
"
bob9527 (花羅漢),movie,請問最近上映的電影，只能二選一…,Tue Oct 20 14:50:24 2020,7,"

請問近期電影，“奪命守門人”和連恩尼遜的“倒數反擊”，哪部電影不冷場，因為要約朋友要看，只能二選一，有大大能提供經驗？

-----
Sent from JPTT on my Asus ASUS_I001DC.

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 163.26.176.152 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603176626.A.7A1.html
"
kellyMa (kelly),movie,[討論] 蔡明亮導演的發言,Tue Oct 20 15:50:45 2020,14,"
看到蔡明亮在高雄電影節的發言，他說：
「如果沒有《天邊一朵雲》，怎麼會有後來的《色，戒》！」

（全文網址：https://reurl.cc/Xka9O3）

看到這樣的發言，真的是不懂這句話的意思，
思考這位導演這樣發言究竟站在什麼樣的基礎與想法。
儘管沒有看到完整的發言，
但光就這句話，我一點也沒有感受到這樣的邏輯脈絡是什麼。

如果按照這位導演的邏輯，那我們是不是可以說，
「如果沒有李安的『父親三部曲』，哪有蔡明亮的『父親三部曲』」？


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.231.31.221 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603180247.A.49B.html
這我也不懂啊，若照你說的，台灣社會對情慾藝術片的先後影響，
那我也可以說，沒有《感官世界》，哪來《色戒》
這樣任何一個前者都可以在後者面前貼金了。
※ 編輯: kellyMa (36.231.31.221 臺灣), 10/20/2020 16:38:57
我沒有要跟你戰喔。只是這樣的邏輯，推演下來，
沒有新電影的侯孝賢吳念真楊德昌，也就沒有蔡明亮，
新電影抵抗政府才更多吧而且不單單只是情慾。
我剛寫的「任何一個前者都可以在後者面前貼金了」
※ 編輯: kellyMa (36.231.31.221 臺灣), 10/20/2020 16:54:18
不是啦我怕我一直回你，你覺得我在戰你啦
※ 編輯: kellyMa (36.231.31.221 臺灣), 10/20/2020 17:00:43
"
st9131133 (球球球球球),movie,[好雷] 《消失的情人節》八塊的初心與浪漫。,Tue Oct 20 16:08:11 2020,11,"
圖文完整版
https://ballplantball.pixnet.net/blog/post/21579590

遲了快一個月才前往影城觀賞《消失的情人節》，今年９、１０月是國片的強碰期，每個
國片的題材都非常不同，皆能細細品味，可憐哉筆者的忙碌，至今才觀影。

全片的劇情演繹是我非常喜歡的小品呈現方式，沒有過多華麗劇情的鋪陳轉折，反倒是簡
單的日常搭配一些超意識的題材，從一而終的獻給觀眾不同的面貌。


~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~

「消失的人、消失的情節」

全片以楊曉淇得快時間以及阿泰的慢時間視角，拼湊出完整的故事架構。很喜歡郵局這個
設定，像是以女主角視角每天跟男主角借八塊錢，而男主角每天都是投資八塊錢，最後在
情人節的那天，彼此償還這些預借或超支的利息。

《消失的情人節》開頭以及前期發酵很成功，在預告片都是男主角的視角身影，但在劇情
一開始卻是女主角趣味的報案方式，使得筆者更想知道「所以誰的一天到底怎麼消失的？
」；隨著楊曉淇的日常、回憶，從頭慢慢講起，不疾不徐讓觀者像是個阿泰的視角。所以
帥哥教練呢？那個每天寄平信的怪咖呢？為什麼消失的一天裡曬得皮膚通紅？直至038的
郵政鑰匙，追到了事發地，貌似離謎團更接近的時候，卻使整個視角更模糊，「所以女主
角的一天到底怎麼消失的？」。

後半段由男主角阿泰來完全剩餘的劇情碎片，總是慢一秒時空的他，在小時候對女主的一
見鍾情到長大後的再次相遇，分別的十來年，卻沒有勇氣往前提起。而這些慢時間的利息
在情人節當天兌了現，阿泰利用多出來的一天跟女主角相處，完成了彼此最密合的情節。

「你要好好愛自己，因為有人愛著你」

全片最後，用大圓滿的方式並附註心靈雞湯語句，讓筆者從這些日常演繹到最後感受到滿
滿的暖意，雖然對於愛情的解讀不盡相同，但喜歡整個觀影過程不用燒腦或者過度的劇情
轉折，飄然淡淡地跟隨著劇情脈絡，就像是真的有楊曉淇跟阿泰在面前廣播講故事給我聽
一樣，算是近年覺得蠻值回票價的小品國片。

-

不過筆者認為，對於阿泰在暫停的一天裡給予女主角的詮釋，其實蠻容易在變態跟癡情的
模糊邊界遊走，對於帶回女主房間親額頭稍微不能接受外，其他沒有過於踰矩的表現，反
倒呈現出阿泰的純真跟木訥。

除此之外論整體而言，《消失的情人節》算是在國片中不會用尷尬的梗來戳觀眾的笑點，
導演將各種笑點或者是細節不著痕跡的黏在劇情之上，而功勞更要歸功於男女主角出色的
演技。男主角劉冠廷筆者真的覺得他演什麼像什麼，像是《陽光普照》蔡頭、《花甲男孩
》花明，到現在充滿木訥的阿泰都詮釋得非常到位也不會感受到不自然的刻意感；女主角
李霈瑜非常讓我眼睛為之一亮，對她的印象是活潑陽光的外景主持人，首次獨挑大樑的演
技精湛致讓我想到2018年的金馬影后謝盈萱，自然倒真的覺得楊曉祺真實出現在影城外的
郵局一樣。

最後，對於本片給予時間的定義，筆者認為不像科幻片《天能》那類型的時間概念，我覺
得《消失的情人節》的時間更像是人與人相處的頻率。生而為人，每個人在世上都有特殊
的頻率，有可能是釋放出萬眾矚目的頻率，也可能是與大眾脫節的頻率，劇中除了男女主
角的愛情觀，讓我印象深刻的是女主家庭的關係，父親的出走更讓我覺得他是無法適應家
庭的頻率，而到劇末與暫停的女主角達到和解時，這也呈現了他們頻率最一致的時候。

劇初劇末不離「你要好好愛自己」的標語點醒筆者，再追求不屬於自己的頻率的時候，調
節的過程也不要忘記自己的初心，因為縱使頻率跟某某人相符合了，但可能也不是你自己
了。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.160.204.16 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603181294.A.075.html
"
amego2017 (),movie,Re: [好雷]教父的悖謬 ,Tue Oct 20 16:30:02 2020,4,"
因為人就是動物

男人就是雄性動物，骨子裡渴望那野獸man power

片中展現的就是各種生存手段，爭地盤搶利益擺脫道德枷鎖


血淋淋的雄性智慧

跟看動物頻道一樣

想漂白也只是想生存下去的手段

麥可錯的是沒他老爸掩蓋的漂亮

但最錯的是沒有瘋狂修幹交配生後代

有錢有勢後就該瘋狂修幹，動物的最終目的就是生後代

麥可搞砸了，最後變得跟肥宅一樣孤家寡人的淒涼


顯然這片就是在講雄性野獸出生在大地上的競爭過程

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 150.117.104.190 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603182604.A.370.html
"
halfgodhsiao (蕭蕭),movie,[問片] 預告「難道這不是愛嗎」,Tue Oct 20 17:02:41 2020,3,"
應該是去年看到的預告，不知道為什麼腦中一直浮現預告的這句話「難道這不是愛嗎」，又
想不到到底是哪部片，好痛苦求大家讓我解脫

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 223.140.88.65 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603184563.A.C6F.html
可惜不是嗚 但還是謝謝
我記得是男生說的有點中國腔不知道是不是對岸電影
※ 編輯: halfgodhsiao (223.140.88.65 臺灣), 10/20/2020 18:14:17
"
henryhuang17 (亨利),movie,[普好雷] 看不見的目擊者 (吉岡里帆粉)觀後感,Tue Oct 20 17:08:48 2020,9,"
看不見的目擊者

★ 改編自韓國經典犯罪電影《盲證》
由日本新生代實力派女星吉岡里帆聯手鮮肉帥哥高杉真宙演出

10/16號 就上映了

今天有空，就去威秀看了
場次是中午十二點四十，出乎意料，竟然除了我之外還有其他觀眾
因為之前的經驗，中午這種非大片基本上都空無一人XD

-

先無雷的感想

我覺得看起來的感覺比較像是一集略長的日劇(兩小時)

以懸疑推理片來說節奏不是很緊湊

看的過程除了因為個人對血腥場面比較緊張之外，其他時間也不會算太緊張刺激

但整體犯罪動機跟手法來說還算合情理的範圍內，可是就有點點乏味

不過如果跟我一樣是喜歡吉岡里帆所以才看的，那可以去看看XD

雖然她演的戲劇也蠻多了，但這部演盲人，就可以多看一種面向的她～




雷文防雷資訊頁







~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~*-*~



~~~~~~~~~~~~~~~~~~~ 雷文 主文分隔線 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


一開頭的車禍意外，感覺在日式電影裡面就必須這樣教條呈現吧？
開車分心去撿東西，在日本電影裡不出意外感覺不太可能XD 做壞事一定要被懲罰
然後鋪陳弟弟的吊飾呼應到最後的結局，還算不錯，但總覺得硬塞一個吊飾有點牽強


15年前殺人動機是來自六根清淨
一開始以為是跟島田的『占星術殺人事件』一樣，取各個部分搞鬼
但沒有，就純粹引用經典裡面的六根清淨，來進行殺人儀式
這個的話我覺得兩者相較之下就弱了不少，沒有甚麼特別反轉或有梗之處


但15年前的目擊者，成為現在的模仿犯，這倒就蠻合理的
純粹因為喜歡看到屍體而殺人，這樣的動機我覺得還不錯
目的相對簡單而且純粹，一定有這樣的犯人
太多電影的兇手都有一大堆的故事，反倒是這樣，受到刺激，純粹想殺人的角色也不錯


可是就有個問題，既然他純粹喜歡殺人而已
但是那戶凶宅裡面為何還要再把各個器官擺成供奉的樣子，這我就不太懂了
錄影可以理解，就是想看殺人跟屍體，但怎麼還需要再搞六根清淨那套


最後就是兩個前面戲份很重的警官
第一個死的木村警官，我覺得還算情有可原，很正義想要趕快救人跟揪出內鬼
但講完大話的時候（明顯感覺在立旗＝＝），果不其然被刺死
第二個警官，怎麼敢不瞭解就直接衝進去，只為了男主角說的警官正義＝＝
講完當下也超明顯的立旗，也被兇手收掉了...

第一個警官死我覺得還算OK，但第二個也要進去送頭真的有點太多了


不知道大家怎麼看～















防雷雷雷雷

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.237.76.190 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603184937.A.578.html
我知道啊XD我有講，只是覺得有點刻意
好多版本！
但我印象好深他對男主那句話的執著
原版最好看嗎
我也有點這樣的感覺
可能覺得自己有經過訓練了，夜魔俠上身
其實兇手把刑警都直接剁掉，沒有把男主也直接剁掉也蠻怪的
最後一句笑出來XDD
※ 編輯: henryhuang17 (36.237.76.190 臺灣), 10/20/2020 18:37:49
"
vincentgotu (網壇的人),movie,Re: [討論] 鬼滅有可能進入今年全球票房前十名嗎?,Mon Oct 19 21:07:28 2020,1,"
一開始看鬼滅之刃是朋友的小孩說這是今年最紅 叫我先看mod動畫 然後因為小朋友都在討論 又想看善逸什麼時候會變強 就去看漫畫

結果看到好多感人的情節 像是繼國緣一跟哥哥 還有這次動畫電影的主角炎柱 還有妓夫跟妹妹 看了覺得有些情節真的好像出現在人生中的某段遭遇 好想哭

對電影原本沒什麼興趣 就像大家說的看過漫畫就知道結局 但是看到票房狂破紀錄 現在覺得一定要去看

日本人對情感描寫有點莫名的執著 這股熱潮覺得可追上當初的灌籃高手 但當初灌籃高手
的動畫電影好像有點拖台錢 灌一個藍要10秒鐘 這次不僅漫畫作者收線迅速 製作電影的ufo 的美感更沒話說 期待！

※ 引述《chirex (請叫我大魔道士)》之銘言：
: ※ 引述《nanachi (上善若水)》之銘言：
: : 鬼滅在日本上映三天，創下四十五億日幣的驚人紀錄，而目前全球電影票房第十名是隱
: : 人，約1.347億美金，如果鬼滅票房突破160億日幣便能超過之，版友覺得有機會嗎?
: 應該不是沒有可能，
: 日本下半年沒啥強作要上檔，
: 而且因為疫情的關係，
: 電影院生意慘淡，連帶周邊生意也是下滑，
: 朋友在日本留學的說，沒看過日本這麼慘過，
: 連在歌舞妓町專門拉外來客的逆桑，
: 也就是一堆中國學生在兼職的，
: 最近也全滅了。
: 因為沒有外國遊客啊。
: 本來今年2020應該是日本東奧盛世，
: 觀光旅遊要大爆發，大家都在摩拳擦掌準備狠撈一票的。
: 那想到，鬼真的來了？
: 一個中國武漢肺炎把全世界都打趴掉了。
: 這時候『鬼滅之刃』根本就被日本動畫，不是，是日本人
: 看成救世主了。
: 【鬼滅之刃】啊!!!
: 多吉利啊??
: 打倒小物臭的維尼，不是，是無慘~!!
: 所以看個鬼滅消消業障，消惡除疫，
: 去除惡鬼纏身，
: 真的很符合目前的世界潮流。
: 很應景啊~~~
: 尤其是那個人說的，
: 『我不會讓在場的任何一個人死掉』
: 然後戰到最後一刻也不倒下的精神，
: 真的很符合日本人現在的需求。

-----
Sent from JPTT on my iPhone

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 110.50.134.89 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603112850.A.4A7.html
※ 編輯: vincentgotu (110.50.134.89 臺灣), 10/19/2020 21:08:37
※ 編輯: vincentgotu (110.50.134.89 臺灣), 10/19/2020 21:11:06
※ 編輯: vincentgotu (110.50.134.89 臺灣), 10/19/2020 21:14:35
"
addstar (ASUS P735超正阿!!),movie,[請益] 鬼滅之刃有國語配音的嗎?,Mon Oct 19 21:16:42 2020,55,"
請問鬼滅之刃有國語配音的嗎?

想帶小孩去看，但是目前在威秀、國賓、秀泰影城的時刻表都只有日文的，

國語配音會晚點上映，還是只能等DVD呢?

謝謝!!

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 1.34.135.162 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603113404.A.A16.html
"
Spade (JACK),movie,[討論] 藍色恐懼-藍光開箱,Mon Oct 19 21:37:19 2020,8,"
前陣重映的藍色恐懼
藍光以前普威爾代理的已經絕版多時
采昌這次重壓片
補足當時上映第一週沒拿到膠卷收藏夾的遺憾嗚嗚嗚嗚

https://i.imgur.com/BiI58ZE.jpg
外紙套有護膜，不用擔心碰到水會濕掉

https://i.imgur.com/m3l39jV.jpg

https://i.imgur.com/wwH2RYI.jpg

https://i.imgur.com/wmaM6e7.jpg

其實這次的重點在特收
158分鐘裡面包含今敏講座&幕後花絮
這兩個部分大約佔兩個小時分量很足
也都有繁中字幕
之前板上也有文章整理重點
#1V7NBF7d (movie)

喜愛這部的真的值得入手

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 36.229.206.221 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603114641.A.2E3.html
真的超有誠意
買起來，而且配合影片解說更認識這部電影
今天剛看完花絮想再重看一次電影
天妒英才...QQ

有 普威爾代理的

※ 編輯: Spade (36.229.206.221 臺灣), 10/20/2020 01:53:56
※ Spade:轉錄至看板 C_Chat                                         10/20 11:58
"
aaa2615 (呆寶),movie,[好無雷]親愛的房客,Mon Oct 19 21:38:10 2020,11,"
台北電影節與高雄電影節的觀後感，很喜歡親愛的房客，想推薦給大家。
電腦排版，還請大家見諒。・゜・(ノД`)・゜・。
縮小看比較順一點……抱歉抱歉……






----------------------微雷-------------------------






親愛的房客是一齣關於愛有不同的形狀、色彩、模樣的電影，
一開始以為只是在傳達同志與家的故事，
可是看完後深刻感受到片中所有由「愛」開始的情感，
都是我們真實生活會感受並面對到的，
只要有愛過人，不論是親情、愛情、友情等….，都會懂得這齣電影迷人的，
並不只是說出片中角色的故事與感情，
而是包含更深層每個人因為愛所可能經歷的情感與選擇，
和會面臨的難題；因為愛而相遇也可能因為愛而分離、
因為愛而快樂也可能因為愛而心碎、每個人的故事都這麼不同，
但卻可以和自己的生命歷程連結和共感。


因為每段關係或是自己角色的不同，面對愛時就會有不同的立場和掙扎，
那不只會發生在沒有血緣、名份的關係上，
有時候有血緣、名份的家庭中也會有很多衝突、埋怨、怨恨、不諒解，
只是當這個家在法律與社會定義非親非故且不被接受認同之下，
困難與痛苦相對會加倍很多並且彷佛不存在，縮小到很難被看見瞭解和被重視，


劇中健一反問檢察官
「如果我今天是女的，我先生過世了，我繼續照顧他們家，你還會問我一樣的問題嗎？」


平靜卻一針見血的帶出同志婚姻及家庭一直以來遭遇的困難與歧視，
雖然電影年代較早，但直到現在就算已經落實婚姻平權，
仍舊有很多困境、鴻溝真實存在著。多數人平凡的親子和婚姻關係，
為何在同志身上就要特別解釋或是被另眼相待，健一的憤怒與傷口都在告訴我們，
同志們曾經經歷或是現在還在走的路有多難有多痛。


記得在台北電影節看完時，我很喜歡電影裏頭每一個擁抱，
每一個擁抱都在傳遞著不一樣的濃厚溫度，有守護、陪伴、安慰、依靠、害怕、和解，
好像有了真心的擁抱就可以比較不害怕面對那些討人厭的事情。


在電影裡主角都有自己內心糾結與拉扯、情感的轉變、心境的轉折，
用愛瞭解、理解、諒解、化解再到和解，在愛裏所受的傷與傷害別人，
或是自己面對自己時，有時候反而是自己不能原諒自己，
如同健一對自己的過不去與對愛的人愧疚，在那場情慾戲裏，
我覺得那是最靠近健一的時候，因為愛而衍生的恨、憤怒、愧疚、悲傷、後悔、
遺憾、自責、思念、想念、孤單、寂寞等等……，
這些年來他壓抑藏在心裏最深層深處複雜的情感及思念終於崩潰釋放，
允許自己給自己一個出口與陪伴。


我看完覺得陪伴了故事中的角色同時，也深深感受到自己好好地被陪伴、被擁抱了，
如同有傑導演說的很久沒有被擁抱又或者很需要被擁抱的人，
更要進電影院看「親愛的房客」，每次看都可能會觸動不一樣的感情，
重重地落在心底，第一次看時有些感受來得太急太快，
滿到自己還來不及好好記得收藏就迎來了落幕，
而這次二刷時我收拾起遺落的感觸與感動一一放進心裏。


電影中很多對話及演員真實細膩真情流露的情感都很揪心、不捨，
也很喜歡戲中日常生活的畫面，自然而然感受到最純粹且親密的感情緊密相連，
親情的牽絆相伴很動人也很心痛、無怨無悔只要孩子幸福，生活如此平凡卻不易守護。
很喜歡健一和悠宇去山上度過再到訴說最後一個秘密的安排，
對健一來說，山上是背負許多不爲人知的秘密和被迫放手的起點，
也是充滿回憶的地方，雖然美好悲痛糾結在一起，
但是回到山中是無法選擇當中必然的選擇。


當愛以音樂傳達，那就像「在夢裏」這首主題曲，
如此讓人難忘想一直反覆播放、聆聽、哼唱，
像是跟家人之間不會再有分離，緊緊地被愛包圍著並延續下去，
如果我能安心飛翔，那也是因爲有你在身旁。


最後健一的情感內斂安靜卻格外有重量，他的心得到自由不再自責和自我束縛，
我想那是因爲愛與思念終於有了歸屬有了家。


就像有傑導演和小莫說的愛有很多形狀，當電影散場擦乾眼淚後，
如果我們的愛能變得溫柔點、心能柔軟些、更靠近更懂得珍惜，
並將更多溫暖傳遞給更多人，或多為他人設身處地著想並感同身受，
我想這也是其中一種愛的形狀。

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 106.105.24.150 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603114692.A.BB6.html
※ 編輯: aaa2615 (49.216.23.189 臺灣), 10/19/2020 23:16:40
※ 編輯: aaa2615 (106.105.24.150 臺灣), 10/19/2020 23:50:39
"
orangehead (梅子媽媽),movie,[好無雷] 《幻愛》接納、傷口和愛情,Mon Oct 19 21:44:30 2020,6,"

看了《幻愛》 很喜歡

今年看了《怪胎》和《幻愛》 這兩部片裡面的主角都""有點怪""



但是後來更仔細一想 其實怪怪的人

往往一點都不奇怪   因為他們身上都有我們最陰暗的影子

我們不敢說出來、表現出來、讓別人知道的

其實往往是我們與他人最大的交集

那就是脆弱啊

脆弱卻又渴望被接住

渴望有一個人可以覺得你很特別

卻又將你的殊異看為十分平凡

這不就是我們每一個心底的願望嗎？




片中如果有條紅線或是金句  大概就是那句  「我不介意」

如果 如果我們都有一道傷口 一個瘡疤

是在影子裡的

那那句我不介意

是不是就是讓它可以呼吸的陽光？




被承接了以後才延續、才能生長、繼續面對

生命沒有變得比較輕鬆 困難沒有比較容易

但是好像我們也能夠不介意了



另外  這是部很""心理學""的電影

導演能把夢境的詮釋和精神病患的脆弱表現得十分細膩與深刻

片中真真假假的邊界讓人難以分辨

因為或許那就是精神病患者的日常和真實

導演能夠把愛與病的交融用影像語言拍得那麼美

真的太厲害了 每一個糊焦的美麗港島光影

都像是一個蔓延開來的夢境




另外男女主角的演技令人印象深刻

女主角沒有入圍金馬真是可惜

希望男主角可以一舉奪得最佳新演員獎

他的脆弱與恐懼真的很打動人心



喜歡片裡的浪漫不是只是建築在愛情上

而是建築在謊言與信任 虛假與真實 過去與現在

這讓愛有了更強大的疆界



--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 114.43.182.136 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603115073.A.260.html
"
LBJKOBE5566 (卍解曇花永綻螺巖),movie,[問片] 一部主角其實是備用複製人的西洋片,Mon Oct 19 21:49:24 2020,9,"

如題

小時候看到的
最近忽然浮現的腦海中
但怎麼想都想不到片名
故事大概就一群人因為世界末日（？）
被集中起來管理
大家唯一的樂趣是等抽獎
抽中可以去個天堂島還快樂島的地方
後來女主角被抽中
男主角剛好發現被管理的包括自己在內
其實是有錢人用來備用的複製人
後來逃出去把本尊給殺了（？）

大概劇情是這樣
煩請大家救救我失憶的腦袋
-----
Sent from JPTT on my iPhone

--
眼見那大限將至

只聞雷霸龍大喝一聲 隨即連踏七步

電光石火之間 就將那分數給取下了


--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 126.168.37.156 (日本)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603115369.A.64F.html
居然是黑寡婦演的 跟我印象中長的不一樣欸
我估狗了 有錢人複製人 跟複製人 世界末日 都沒有誰
再生
感謝大大！
創：光速戰記我好想有看過 是不是有戴頭盔賽車的橋段啊
※ 編輯: LBJKOBE5566 (126.168.37.156 日本), 10/19/2020 22:00:37
"
wwman (記憶拼圖),movie,[片單] 有血有淚令人感到悲傷的失意片或失戀片,Mon Oct 19 21:50:25 2020,16,"

1. 請簡述自身需求片單理由 或 欲尋找電影的類型或特徵（請盡量描述清楚）


  想找 失意 有血有淚 悲傷的 人與人之間的互動   有互相關懷 互相幫助


總之是電影劇情能讓人感到 非常有血有淚的 令人深刻的的人性刻劃即可


最後是喜劇 或者 悲劇 或者持平 都可以~~      失意 失業  失戀 等等題材也都可以~


把人生的苦處描寫得很好的




  前陣子終於看了一直很想看的題材 港片""麥路人"" 看完感觸滿深的 也挺難過


外加感動 大概是自己也有接觸跟了解社會底層那一面 所以感覺還算貼近 或者感到親切


然後也從這部電影得到一種慰藉  在這科技(手機)越高 越發達 越文明


人的距離就越被拉更遠   人與人之間就變得更多的冷漠    在這部電影或一些同類型


的電影(麥路人 東京難民 等等)裡面 找到一些 自己很想念的...古早味的...


人與人之間的互助情感 和  身為人似乎應該要保有的初衷...互相關懷 和 互相幫助等等


的人與人互動的基本情感



   本來是因為張達明 而想看這部電影   張達明是我最近看一堆TVB古裝劇 有一部

古裝喜劇 狀王宋世傑  後來再看到消息 竟然好像治療完癌症 狀況也變差很多 難過


另外也慢慢喜歡郭富城  從以前不喜歡他覺得有點花瓶 後來喜歡他 也是有挑戰 滿多有

意義的腳色   像這部麥路人  也算是有幫助且描述社會底層  意義非凡



2. 已知符合需求的電影或偏好的電影類型（為避免重複推文，請至少列舉一部）


麥路人

東京難民

奪命金(有點忘記  印象也是類似  電影描述  底層工作的苦處跟無奈)

失戀33天  (白百合 演的 把失戀過程描寫的挺好 挺寫實的)



3. 不喜歡的電影類型            （不需要板友推薦的電影片名）

太輕鬆 就簡單的變很正向    太平淡 太喜劇 很簡單就克服 那種 假希望 假正向

只有故事書 童話書 才會看到那種


比如    白日夢冒險王




或者始終保持正向 然後所有事情都一個被一個克服 太順遂  幾個打擊失敗

都沒有   根本太假






大佛普拉斯  這部平淡中藏有很多無奈 苦處 但是用大量留白 冷漠 沉默的意境

不是我想要的    我想要刻劃很深的   不要沉默   留白  不要抽象   高深




先謝謝大家熱心分享與討論~~

--
※ 發信站: 批踢踢實業坊(ptt.cc), 來自: 116.241.39.132 (臺灣)
※ 文章網址: https://www.ptt.cc/bbs/movie/M.1603115428.A.324.html
"
